Female,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Insurance Payout
1,1,0,0,1,1,1,0,2,40,115290,63.48384977,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,5451.031734
0,0,1,0,0,0,0,0,2,57,360000,47.28639192,2.718741658,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0
0,0,0,1,1,0,0,0,2,21,270000,42.87288582,0.928150475,Working,Higher education,Civil marriage,House / apartment,Other,0
0,1,0,0,0,0,0,0,2,31,270000,40.45257603,1.363477689,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,0
0,0,1,0,0,0,1,0,2,21,292500,59.08950902,0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Other,0
0,1,1,0,0,1,0,0,2,30,157500,37.73657228,5.63461262,State servant,Higher education,Civil marriage,House / apartment,Core staff,272.2536629
0,0,1,0,1,0,0,0,1,28,180000,50.4842673,30.59884871,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,980.0512314
0,0,1,0,0,0,0,0,2,58,180000,47.76278774,6.825602168,Working,Secondary / secondary special,Married,House / apartment,HR staff,512.5517913
1,0,0,0,0,0,0,0,2,44,360000,42.41017954,9.432089639,Commercial associate,Higher education,Married,House / apartment,Other,0
0,0,1,0,0,0,0,0,2,35,157500,38.71400508,6.880360309,Working,Incomplete higher,Married,House / apartment,Drivers,451.7782058
1,0,0,1,0,0,0,0,2,40,135000,28.38661985,3.447024922,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,649.933801
1,1,1,0,0,0,0,1,3,32,180000,41.41631929,15.81415087,Working,Secondary / secondary special,Civil marriage,House / apartment,Other,0
0,0,0,0,1,0,1,0,2,36,202500,56.3050576,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,1095.800202
0,0,1,0,0,0,1,0,2,49,67500,55.23453596,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,6474.850545
1,0,0,0,0,0,0,0,2,26,157500,58.21064088,1.108852338,Working,Secondary / secondary special,Married,House / apartment,Security staff,2418.860538
0,0,1,0,0,0,0,0,2,7,180000,37.58324948,16.51231716,Working,Secondary / secondary special,Married,House / apartment,Other,0
0,0,0,0,0,0,0,1,3,13,135000,27.79249403,3.115738174,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,1112.083197
0,0,1,0,0,0,0,1,2,16,157500,31.47497895,1.045880477,Working,Incomplete higher,Single / not married,With parents,Core staff,101.6265071
0,0,0,0,0,0,0,0,1,28,265500,62.04644859,11.51563687,State servant,Secondary / secondary special,Separated,House / apartment,Other,0
0,0,1,0,1,0,0,0,1,56,247500,37.81049577,3.427859573,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Private service staff,0
0,0,1,0,1,0,1,0,2,18,202500,63.54134582,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,2300.62072
0,1,1,0,1,1,0,1,2,6,225000,39.96522858,10.59296221,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,0
1,1,1,0,1,0,1,0,2,23,148500,62.46534836,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,4291.525476
0,0,1,0,1,0,0,0,2,48,225000,44.1542263,23.26399584,State servant,Secondary / secondary special,Married,House / apartment,Other,0
0,0,0,0,0,1,0,1,2,12,90000,38.90565857,0.94184001,Working,Secondary / secondary special,Separated,Rented apartment,Sales staff,3278.87549
1,1,1,0,0,0,0,0,1,24,135000,29.05466916,2.677673053,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,653.7406971
0,0,0,0,0,0,1,0,2,23,67500,54.28995804,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,6296.338434
1,0,1,0,1,0,0,0,2,18,148500,23.78967398,3.389528875,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
1,0,0,0,1,0,0,0,2,18,225000,25.06280074,2.877540264,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
0,1,1,0,1,0,0,0,2,51,112500,46.42942702,2.06711979,Working,Secondary / secondary special,Married,House / apartment,HR staff,2946.989774
0,0,1,0,0,0,0,0,2,44,225000,31.73508012,6.847505424,Commercial associate,Higher education,Married,House / apartment,Other,0
1,1,1,0,0,0,0,0,2,55,157500,55.69176643,18.76287672,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1986.250548
0,0,1,0,0,1,0,0,2,3,135000,32.21968966,5.711274017,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1049.762342
0,0,0,0,0,0,0,0,1,43,94500,48.83330938,7.011779845,Working,Secondary / secondary special,Single / not married,Rented apartment,Security staff,4148.659109
0,0,1,0,1,0,1,0,2,39,171000,52.91005291,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,1953.633559
1,0,1,0,0,0,0,0,2,19,247500,37.15339808,14.68613319,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,0
0,0,1,0,0,0,0,0,2,43,157500,41.73391651,7.285570546,Working,Secondary / secondary special,Married,House / apartment,Core staff,1036.640996
0,1,1,1,1,0,0,1,3,45,180000,27.0012389,8.180866137,Commercial associate,Higher education,Married,House / apartment,Core staff,0
0,0,0,0,0,0,1,0,1,39,94500,64.95684374,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,7094.90142
1,1,0,0,0,0,0,0,2,51,540000,47.22615796,4.621587028,Commercial associate,Higher education,Married,House / apartment,Laborers,0
0,0,0,0,0,0,0,0,1,42,135000,26.37152029,5.319753315,Working,Secondary / secondary special,Single / not married,With parents,Other,901.7965799
1,0,1,0,0,0,0,1,2,57,135000,39.17671136,3.720815622,Commercial associate,Secondary / secondary special,Separated,House / apartment,Security staff,1385.177645
1,0,0,1,0,1,0,1,3,14,360000,41.73665441,7.961833576,Working,Secondary / secondary special,Married,House / apartment,Managers,0
0,0,0,1,0,0,0,0,2,9,121500,37.60515274,1.859038858,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,Laborers,2062.436995
0,0,0,0,0,0,0,1,3,42,108000,41.47929116,1.968555138,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,3249.958636
0,0,1,0,0,0,0,2,4,5,135000,35.26971806,3.236206082,Working,Secondary / secondary special,Married,House / apartment,Realty agents,1178.207894
0,0,0,0,0,0,0,0,1,33,234000,29.07931032,5.28689843,Working,Higher education,Single / not married,House / apartment,Managers,0
0,1,0,1,1,0,0,2,4,2,315000,37.76395135,7.26366729,Working,Higher education,Married,House / apartment,Managers,0
1,1,1,0,0,0,0,0,2,13,247500,34.57428968,11.0200757,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
0,0,0,0,0,0,0,1,3,11,90000,40.24997091,11.32124547,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,3177.455706
0,0,0,0,1,0,0,0,2,16,315000,37.82966112,6.06446402,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
1,1,0,0,0,0,0,0,2,57,247500,53.34538012,18.61229183,Working,Secondary / secondary special,Married,House / apartment,Managers,0
1,1,1,0,0,0,0,0,2,39,148500,49.38636659,0.755662334,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,1736.660597
1,1,1,0,1,0,0,0,2,16,315000,43.73806444,6.617521236,Working,Incomplete higher,Married,House / apartment,Managers,0
0,0,0,0,1,0,0,0,2,51,76500,64.0423828,4.490167491,Working,Higher education,Married,House / apartment,Other,6738.963031
0,0,1,0,0,0,0,1,3,34,157500,44.97012259,7.781131714,State servant,Secondary / secondary special,Married,House / apartment,Managers,967.8226045
1,1,0,1,1,0,0,0,1,7,360000,46.79083075,3.983654695,Working,Higher education,Single / not married,House / apartment,Managers,0
0,0,0,0,0,0,1,0,2,17,90000,58.91154507,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,6003.878703
1,1,1,1,1,1,0,1,3,20,337500,31.46950314,5.09524494,Working,Higher education,Married,House / apartment,Managers,0
0,1,1,0,0,0,0,0,2,30,202500,54.11473199,5.935782391,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,199.4364947
0,0,1,0,0,0,0,0,1,44,180000,37.43814041,3.050028406,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,0
0,0,0,1,0,0,0,0,2,12,135000,43.89138723,15.26109366,Working,Secondary / secondary special,Married,House / apartment,Laborers,1871.015202
0,0,1,0,0,0,0,1,3,40,202500,26.51662936,3.006221894,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0
0,0,1,0,1,0,1,0,2,47,58500,67.00479818,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,8710.9952
0,0,1,0,0,0,0,1,3,1,117000,38.44295229,1.259437223,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Other,2360.69808
0,0,0,0,0,0,1,0,2,28,121500,58.34479832,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,4718.114645
0,0,0,0,0,0,0,2,4,16,180000,32.59478292,4.654441912,Working,Higher education,Married,House / apartment,High skill tech staff,0
1,0,1,0,0,0,0,0,2,48,112500,51.66704313,9.533392198,Working,Secondary / secondary special,Married,House / apartment,Security staff,3258.076581
0,0,1,0,1,0,0,0,2,58,450000,35.58731528,0.276528608,State servant,Secondary / secondary special,Married,House / apartment,Core staff,0
0,0,0,0,0,0,0,0,1,9,139500,44.36230723,19.43913975,Working,Higher education,Separated,House / apartment,Managers,1641.190055
1,1,1,0,1,0,0,2,4,29,301500,46.76345168,7.433417524,State servant,Secondary / secondary special,Married,Office apartment,High skill tech staff,0
1,1,0,0,0,0,0,2,4,16,166500,33.70911107,3.282750501,Commercial associate,Higher education,Married,House / apartment,Core staff,0
0,1,1,0,0,0,0,1,3,3,135000,32.90416641,8.134321718,State servant,Secondary / secondary special,Married,Municipal apartment,Other,1065.872151
0,1,1,0,1,0,1,0,2,2,301500,57.61651506,0,Pensioner,Higher education,Married,House / apartment,Other,0
1,1,1,0,0,0,0,1,3,25,337500,31.0259622,1.174562106,Commercial associate,Higher education,Married,House / apartment,Other,0
1,1,1,1,0,0,0,0,1,13,112500,27.03409379,4.517546562,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,1539.110708
0,1,0,1,1,0,0,0,2,46,315000,37.11780529,1.604413506,Commercial associate,Higher education,Married,House / apartment,Other,0
1,0,1,0,0,0,0,0,2,6,360000,45.18094143,7.786607528,Commercial associate,Incomplete higher,Civil marriage,House / apartment,Managers,0
1,1,1,0,0,0,0,1,3,30,427500,41.18907301,4.739317029,Working,Secondary / secondary special,Married,House / apartment,Managers,0
1,1,0,0,0,0,0,0,2,43,225000,32.64132734,1.763212113,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,0
0,0,1,0,0,0,0,0,1,17,157500,50.76079591,4.199949349,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1852.50842
0,0,0,0,0,0,1,0,2,60,157500,62.50094116,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,3970.711367
1,0,1,0,0,0,0,1,3,39,202500,29.44892777,6.447771001,State servant,Higher education,Married,House / apartment,Core staff,0
0,0,1,0,0,0,0,0,2,41,261000,54.88682177,7.006304031,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
1,0,0,0,0,1,0,0,2,28,337500,46.55537075,12.52318665,Working,Higher education,Married,House / apartment,Managers,0
1,1,1,0,1,0,0,0,2,15,225000,57.43033738,2.261511188,Working,Incomplete higher,Married,House / apartment,Drivers,0
0,1,1,0,0,0,1,0,2,42,180000,65.57834863,0,Pensioner,Secondary / secondary special,Married,Municipal apartment,Other,3589.850679
1,1,0,1,0,0,0,3,4,1,90000,37.25743855,4.000082137,Working,Lower secondary,Separated,With parents,Drivers,2859.624516
0,0,0,0,1,0,0,0,1,6,225000,37.03840599,1.256699316,Commercial associate,Higher education,Single / not married,House / apartment,Accountants,0
0,0,1,0,1,0,0,0,2,48,112500,46.3007454,1.839873509,Working,Secondary / secondary special,Married,House / apartment,Other,2904.480464
1,0,0,1,0,0,0,0,1,1,180000,27.35990472,0.517464424,Working,Incomplete higher,Single / not married,House / apartment,Drivers,0
1,1,0,1,1,0,0,0,2,33,225000,35.65850086,5.798887041,State servant,Higher education,Married,House / apartment,Drivers,0
0,0,1,1,1,0,0,0,2,57,90000,54.91420084,14.56840318,State servant,Higher education,Married,House / apartment,Other,5133.434754
1,1,0,1,0,0,0,1,3,28,180000,43.50260443,0.287480236,Working,Secondary / secondary special,Married,House / apartment,Drivers,168.9725963
1,0,1,0,0,0,0,0,2,21,247500,50.1338152,3.852235159,Working,Secondary / secondary special,Married,House / apartment,Drivers,0
0,0,0,0,0,0,1,0,1,60,67500,60.41465602,0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,Other,7908.357376
1,0,1,0,0,1,0,1,3,12,157500,23.45017351,1.158134664,Working,Secondary / secondary special,Married,House / apartment,Core staff,0
0,1,1,0,0,0,0,0,1,39,157500,56.23113411,10.8612771,Working,Higher education,Single / not married,House / apartment,Other,2409.820239
1,1,1,0,1,0,1,0,2,8,103500,59.19081158,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other,5355.368553
0,0,0,0,1,0,0,0,2,48,191250,55.59046387,22.37143815,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,926.3554397
0,0,1,0,0,0,0,0,1,39,60750,50.77174754,5.675681225,Working,Secondary / secondary special,Widow,House / apartment,Other,5890.754186
0,0,0,1,0,0,0,0,2,16,49500,50.88947754,0.533891866,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,6022.934422
1,1,0,0,0,0,0,2,4,25,135000,39.09457415,14.59030644,Working,Secondary / secondary special,Married,House / apartment,Sales staff,958.9872241
1,0,1,0,0,0,0,0,2,9,157500,59.66994531,3.217040733,Working,Secondary / secondary special,Married,House / apartment,Drivers,2739.298917
0,1,1,0,0,0,0,0,2,20,90000,52.29676174,4.711937959,Working,Secondary / secondary special,Married,House / apartment,Other,4440.713007
0,1,1,0,1,0,0,2,4,9,112500,35.66945249,0.284742329,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2007.338229
0,0,1,0,0,1,0,0,1,60,292500,36.78104273,9.62374313,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
