Female,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type
0,1,1,0,0,0,0,2,4,8,90000,31.42569663,4.514808655,Working,Secondary / secondary special,Married,House / apartment,Core staff
1,1,0,1,1,0,0,0,2,52,144000,50.48974312,4.216376791,Working,Secondary / secondary special,Married,House / apartment,Drivers
0,1,1,0,0,0,1,0,2,3,180000,57.25784924,0,Pensioner,Secondary / secondary special,Married,House / apartment,Other
0,0,1,0,1,0,1,0,2,19,85500,64.25320164,0,Pensioner,Higher education,Married,House / apartment,Other
1,1,1,0,1,0,0,0,2,39,135000,61.71516184,0.533891866,Working,Academic degree,Married,House / apartment,Other
0,0,1,0,0,0,0,3,4,7,225000,32.49895617,13.88666434,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers
0,1,1,0,1,0,0,0,2,27,450000,62.66795348,0.605077449,State servant,Higher education,Married,House / apartment,Other
0,1,1,0,0,0,0,0,2,17,108000,52.88541175,16.53422042,Working,Secondary / secondary special,Married,Municipal apartment,Core staff
0,0,1,0,0,0,0,0,1,18,112500,36.56201017,13.5964462,State servant,Secondary / secondary special,Separated,House / apartment,High skill tech staff
0,0,1,0,1,0,0,0,1,51,90000,41.32323046,5.045962614,Working,Secondary / secondary special,Separated,House / apartment,Sales staff
0,0,0,0,0,0,0,0,1,39,135000,54.83206363,7.384135198,Working,Secondary / secondary special,Single / not married,With parents,Cleaning staff
0,0,1,0,0,0,0,0,2,54,135000,46.54441912,15.71558622,Working,Secondary / secondary special,Married,House / apartment,Cooking staff
0,0,0,1,0,1,0,1,3,24,135000,35.82277528,2.798140961,Working,Secondary / secondary special,Married,House / apartment,Other
0,1,1,0,1,0,0,1,3,34,180000,27.32431193,0.350452097,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff
0,0,1,0,0,1,0,2,4,15,135000,29.01633846,5.95494774,Working,Incomplete higher,Married,House / apartment,Sales staff
1,1,0,0,0,0,0,1,3,20,229500,59.31675531,11.88799222,State servant,Secondary / secondary special,Married,House / apartment,Managers
0,0,0,1,1,0,0,0,2,59,202500,35.23412527,0.930888382,Working,Secondary / secondary special,Married,With parents,Managers
1,0,1,1,1,0,0,0,2,24,108000,43.79829839,20.09897534,Working,Secondary / secondary special,Married,House / apartment,Laborers
0,1,0,1,0,0,0,0,1,33,126000,32.79465013,14.25354388,State servant,Incomplete higher,Single / not married,House / apartment,Core staff
1,1,1,0,0,0,0,0,2,32,382500,29.44618986,9.177464287,Working,Higher education,Married,House / apartment,Core staff
0,0,1,0,0,0,0,0,2,44,67500,54.25984106,31.20666407,State servant,Secondary / secondary special,Married,House / apartment,Other
